Date,Open,High,Low,Close
"2018-06-28 02:58:00",6114.6,6118.2,6100.1,6118.2
"2018-06-28 02:59:00",6115,6118.7,6096.8,6118.7
"2018-06-28 03:00:00",6118.8,6119.7,6113.5,6119.6
"2018-06-28 03:01:00",6119.61990456,6119.7,6119.6,6119.7
"2018-06-28 03:02:00",6119.6,6119.7,6119.6,6119.7
"2018-06-28 03:03:00",6119.7,6122.2,6113.6,6122.2
"2018-06-28 03:04:00",6122,6122.3,6121.3,6122.3
"2018-06-28 03:05:00",6122.3,6128.18978874,6120.6,6120.6
"2018-06-28 03:06:00",6128.1,6128.2,6121.3,6128.2
"2018-06-28 03:07:00",6128.2,6128.2,6121.5,6128.1
"2018-06-28 03:08:00",6128.1,6128.9,6122,6123.2
"2018-06-28 03:09:00",6122.7,6128.9,6121.6,6121.6
"2018-06-28 03:10:00",6128.9,6130.1,6122.3,6129.9
"2018-06-28 03:11:00",6122.3,6130,6122.3,6129.8
"2018-06-28 03:12:00",6129.5,6130.1,6122.3,6122.3
"2018-06-28 03:13:00",6130.1,6130.5,6121.1,6130.5
"2018-06-28 03:14:00",6130.5,6130.5,6130.2,6130.2
"2018-06-28 03:15:00",6130.2,6130.53001587,6122,6130.4
"2018-06-28 03:16:00",6130.4,6130.4,6118.7,6118.7
"2018-06-28 03:17:00",6123.5,6123.5,6120.4,6120.4
"2018-06-28 03:18:00",6120.5,6120.5,6120.4,6120.4
"2018-06-28 03:19:00",6120.4,6120.4,6119,6119
"2018-06-28 03:20:00",6119,6119,6115.3,6115.3
"2018-06-28 03:21:00",6115.5,6116.2,6115.5,6116.2
"2018-06-28 03:22:00",6113.9,6113.9,6113.9,6113.9
"2018-06-28 03:23:00",6113.9,6114,6113.2,6113.5
"2018-06-28 03:24:00",6113.5,6113.6,6113.1,6113.1
"2018-06-28 03:25:00",6113.5,6113.6,6113.5,6113.51437677
"2018-06-28 03:26:00",6113.5,6113.5,6113.5,6113.5
"2018-06-28 03:27:00",6113.5,6113.5,6113.5,6113.5
"2018-06-28 03:28:00",6114.4,6114.4,6113.5,6113.5
"2018-06-28 03:29:00",6113.6,6114.2,6113,6113
"2018-06-28 03:30:00",6113,6113.1,6104.5,6106
"2018-06-28 03:31:00",6103.6,6105,6095,6095
"2018-06-28 03:32:00",6105,6105,6105,6105
"2018-06-28 03:33:00",6100.8,6100.8,6093,6096.9
"2018-06-28 03:35:00",6095,6100.9,6095,6098.5
"2018-06-28 03:37:00",6098.5,6098.5,6098.3,6098.4
"2018-06-28 03:38:00",6098.4,6102.8,6098.3,6102.8
"2018-06-28 03:39:00",6102.75175847,6102.75175847,6102.7,6102.7
"2018-06-28 03:40:00",6102.9,6102.9,6102.8,6102.8
"2018-06-28 03:41:00",6102.8,6102.8,6100.4,6100.4
"2018-06-28 03:42:00",6102.1,6102.1,6101.9,6101.9
